m/s,thA0,rA0,thA1,rA1,thB0,rB0,thB1,rB1,thC0,rC0,thC1,rC1
1,16551,14899,30746,27320,32822,29553,21002,18793,17084,15365,4544,3118
2,16810,14292,22558,20155,25314,22567,40022,35436,29096,25876,17519,16162
3,14434,13046,28001,24916,36918,32720,35118,31145,38639,34226,38841,34819
4,20891,18696,32958,29255,46677,41259,20283,18164,23690,21145,37324,33492
5,13773,12468,28277,25159,16909,15212,41746,36944,29087,25868,16717,15461
6,14739,13313,36763,32398,21889,19569,40458,35817,21993,20494,40099,35920
7,24713,22040,34650,30735,34998,31040,19478,17460,30082,26738,42244,37797
8,10127,9278,33590,29808,23285,20791,22974,21353,18776,17263,22099,20170
9,14689,13269,12239,11126,21561,19282,25348,23430,34808,31290,40895,36617
10,13047,11833,35848,31784,37778,33472,25336,22586,26192,23751,17519,16162
11,16487,14843,38451,34061,29376,26120,23743,22025,18230,16784,38841,34819
12,14345,12968,18573,16668,32822,29553,29751,27282,37085,33283,37324,33492
