IIA0,IIA0p,IIA1,IIA1p,IIB0,IIB0p,IIB1,IIB1p,IIC0,IIC0p,IIC1,IIC1p
4252,2215,4902,2540,6965,3511,4070,2063,4344,2200,1164,671
,1197,,1359,,1635,,912,,980,,425
,841,,1003,,1819,,1095,,1164,,69
5158,2668,6006,3092,7195,3626,3840,1948,5574,2815,1394,725
,1423,,1635,,1693,,854,,1288,,243
,1067,,1279,,1877,,1038,,1471,,426
4907,2543,5252,2715,5088,2572,8825,4441,8348,4202,5489,2773
,1360,,1447,,1166,,2100,,1981,,1266
,1004,,1091,,1350,,2284,,2165,,1450
4349,2264,3275,1727,5318,2687,8595,4326,9578,4817,5719,2888
,1221,,952,,1224,,2043,,2289,,1324
,865,,596,,1407,,2227,,2472,,1508
5242,2710,4278,2228,7989,4023,7599,3828,11529,5793,12594,6325
,1444,,1203,,1891,,1794,,2776,,3043
,1088,,847,,2075,,1978,,2960,,3226
4995,2587,3570,1874,8219,4138,7369,3713,12759,6408,12827,6442
,1382,,1026,,1949,,1736,,3084,,3101
,1026,,670,,2133,,1920,,3268,,3285
3550,1864,4369,2274,10429,5243,3891,1973,6546,3301,12091,6074
,1021,,1226,,2501,,867,,1531,,2917
,665,,870,,2685,,1051,,1714,,3101
4458,2318,5365,2772,10659,5358,3661,1858,7776,3916,12321,6189
,1248,,1475,,2559,,809,,1838,,2974
,892,,1119,,2743,,993,,2022,,3158
4209,2194,4663,2421,2987,1522,9256,4656,8345,4201,5222,2639
,1186,,1299,,641,,2208,,1980,,1200
,830,,943,,825,,2392,,2164,,1383
5704,2941,5350,2764,3217,1637,9026,4541,9575,4816,5452,2754
,1560,,1471,,698,,2151,,2288,,1257
,1204,,1115,,882,,2334,,2472,,1441
6605,3392,6659,3419,4232,2144,8934,4495,5985,3021,13016,6536
,1785,,1798,,952,,2128,,1390,,3148
,1429,,1442,,1136,,2311,,1574,,3332
6357,3268,5804,2991,4462,2259,8704,4380,7211,3634,13242,6649
,1723,,1585,,1010,,2070,,1697,,3205
,1367,,1229,,1193,,2254,,1881,,3388
3348,1696,4419,2232,7509,3783,3689,1873,8672,4364,10211,5134
,716,,984,,1771,,816,,2062,,2447
,936,,1204,,1955,,1000,,2246,,2631
4239,2142,5418,2731,7739,3898,3459,1758,9907,4982,10441,5249
,939,,1234,,1829,,759,,2371,,2504
,1159,,1454,,2013,,943,,2555,,2688
3984,2014,4713,2379,4581,2319,4563,2310,4908,2482,10526,5291
,875,,1057,,1039,,1035,,1121,,2526
,1095,,1277,,1223,,1219,,1305,,2709
3654,1849,6119,3082,4811,2434,4333,2195,6138,3097,5178,2617
,793,,1409,,1097,,977,,1429,,1189
,1013,,1629,,1281,,1161,,1612,,1372
4556,2300,7117,3581,4150,2103,5156,2606,10252,5154,5404,2730
,1018,,1658,,932,,1183,,2457,,1245
,1238,,1878,,1115,,1367,,2641,,1429
4309,2177,6416,3230,4380,2218,4927,2492,11482,5769,5489,2773
,956,,1483,,989,,1126,,2765,,1266
,1176,,1703,,1173,,1310,,2948,,1450
6973,3509,5695,2870,8204,4130,5154,2605,7382,3719,9873,4965
,1622,,1303,,1945,,1183,,1740,,2362
,1842,,1523,,2129,,1366,,1923,,2546
7872,3958,6692,3368,8434,4245,4923,2490,8610,4333,10103,5080
,1847,,1552,,2003,,1125,,2047,,2420
,2067,,1772,,2186,,1309,,2230,,2604
7626,3785,5991,2968,6104,3080,4755,2406,4726,2391,10188,5122
,2023,,1614,,1420,,1083,,1076,,2441
,1819,,1410,,1604,,1267,,1259,,2625
2113,1029,5434,2689,6334,3195,4525,2291,5956,3006,4029,2043
,644,,1475,,1478,,1025,,1383,,901
,440,,1271,,1661,,1209,,1567,,1085
3018,1481,6475,3210,6965,3511,6257,3157,11011,5534,4252,2043
,871,,1735,,1635,,1458,,2647,,901
,667,,1531,,1819,,1642,,2831,,1085
2762,1353,5778,2861,7195,3626,6021,3039,12241,6149,4344,2110
,807,,1561,,1693,,1399,,2954,,1112
,603,,1357,,1877,,1583,,3138,,1030
3636,1790,1209,577,,,,,,,9360,2156
,1025,,418,,,,,,,,1135
,821,,214,,,,,,,,1053
4532,2238,2212,1078,,,,,,,9592,4664
,1249,,669,,,,,,,,2389
,1045,,465,,,,,,,,2307
4286,2115,1504,724,,,,,,,9675,4780
,1188,,492,,,,,,,,2447
,984,,288,,,,,,,,2365
3089,1517,5929,2937,,,,,,,8981,4822
,888,,1598,,,,,,,,2468
,684,,1394,,,,,,,,2386
3989,1967,6929,3437,,,,,,,9211,4475
,1113,,1848,,,,,,,,2294
,909,,1644,,,,,,,,2212
3739,1842,6229,3087,,,,,,,9296,4590
,1051,,1673,,,,,,,,2352
,847,,1469,,,,,,,,2270
4235,2090,6450,3197,,,,,,,,
,1175,,1729,,,,,,,,
,971,,1525,,,,,,,,
5135,2540,7454,3699,,,,,,,,
,1400,,1980,,,,,,,,
,1196,,1776,,,,,,,,
4885,2415,6750,3347,,,,,,,,
,1337,,1804,,,,,,,,
,1133,,1600,,,,,,,,
3521,1733,2474,1209,,,,,,,,
,996,,735,,,,,,,,
,792,,531,,,,,,,,
4421,2183,3474,1709,,,,,,,,
,1221,,985,,,,,,,,
,1017,,781,,,,,,,,
4171,2058,2772,1358,,,,,,,,
,1159,,809,,,,,,,,
,955,,605,,,,,,,,
